tick,read_write_time_ms,mem_usage_mb,chunks_loaded,chunks_unloaded,used_cells,used_cells_bbox_w,used_cells_bbox_h,player_x,player_y,savefile_size
3604,0.052,55.9999332427979,0,0,4096,64,64,16981.50390625,16981.50390625,1589248
3605,0.065,55.9999341964722,0,0,4096,64,64,16986.21875,16986.21875,1589248
3606,0.059,55.9999351501465,0,0,4096,64,64,16990.93359375,16990.93359375,1589248
3607,0.063,55.9999361038208,0,0,4096,64,64,16995.6484375,16995.6484375,1589248
3608,0.048,55.9999370574951,0,0,4096,64,64,17000.36328125,17000.36328125,1589248
3609,0.052,55.9999380111694,0,0,4096,64,64,17005.078125,17005.078125,1589248
3610,0.046,55.9999389648438,0,0,4096,64,64,17009.79296875,17009.79296875,1589248
3611,0.048,55.9999399185181,0,0,4096,64,64,17014.5078125,17014.5078125,1589248
3612,0.053,55.9999408721924,0,0,4096,64,64,17019.22265625,17019.22265625,1589248
3613,0.053,55.9999418258667,0,0,4096,64,64,17023.9375,17023.9375,1589248
3614,0.054,55.999942779541,0,0,4096,64,64,17028.65234375,17028.65234375,1589248
3615,0.054,55.9999437332153,0,0,4096,64,64,17033.3671875,17033.3671875,1589248
3616,0.053,55.9999446868896,0,0,4096,64,64,17038.08203125,17038.08203125,1589248
3617,0.058,55.999945640564,0,0,4096,64,64,17042.796875,17042.796875,1589248
3618,0.054,55.9999465942383,0,0,4096,64,64,17047.51171875,17047.51171875,1589248
3619,0.051,55.9999475479126,0,0,4096,64,64,17052.2265625,17052.2265625,1589248
3620,0.051,55.9999485015869,0,0,4096,64,64,17056.94140625,17056.94140625,1589248
3621,0.047,55.9999494552612,0,0,4096,64,64,17061.65625,17061.65625,1589248
3622,0.052,55.9999504089355,0,0,4096,64,64,17066.37109375,17066.37109375,1589248
3623,0.039,55.9999513626099,0,0,4096,64,64,17071.0859375,17071.0859375,1589248
3624,0.058,55.9999523162842,0,0,4096,64,64,17075.80078125,17075.80078125,1589248
3625,0.056,55.9999532699585,0,0,4096,64,64,17080.515625,17080.515625,1589248
3626,0.065,55.9999542236328,0,0,4096,64,64,17085.23046875,17085.23046875,1589248
3627,0.038,55.9999551773071,0,0,4096,64,64,17089.9453125,17089.9453125,1589248
3628,0.054,55.9999561309814,0,0,4096,64,64,17094.66015625,17094.66015625,1589248
3629,0.066,55.9999570846558,0,0,4096,64,64,17099.375,17099.375,1589248
3630,0.06,55.9999580383301,0,0,4096,64,64,17104.08984375,17104.08984375,1589248
3631,0.059,55.9999589920044,0,0,4096,64,64,17108.8046875,17108.8046875,1589248
3632,0.056,55.9999599456787,0,0,4096,64,64,17113.51953125,17113.51953125,1589248
3633,0.056,55.999960899353,0,0,4096,64,64,17118.234375,17118.234375,1589248
3634,0.057,55.9999618530273,0,0,4096,64,64,17122.94921875,17122.94921875,1589248
3635,0.056,55.9999628067017,0,0,4096,64,64,17127.6640625,17127.6640625,1589248
3636,0.047,55.999963760376,0,0,4096,64,64,17132.37890625,17132.37890625,1589248
3637,0.061,55.9999647140503,0,0,4096,64,64,17137.09375,17137.09375,1589248
3638,0.041,55.9999656677246,0,0,4096,64,64,17141.80859375,17141.80859375,1589248
3639,0.04,55.9999666213989,0,0,4096,64,64,17146.5234375,17146.5234375,1589248
3640,0.06,55.9999675750732,0,0,4096,64,64,17151.23828125,17151.23828125,1589248
3641,0.059,55.9999685287476,0,0,4096,64,64,17155.953125,17155.953125,1589248
3642,0.041,55.9999694824219,0,0,4096,64,64,17160.66796875,17160.66796875,1589248
3643,0.056,55.9999704360962,0,0,4096,64,64,17165.3828125,17165.3828125,1589248
3644,0.037,55.9999713897705,0,0,4096,64,64,17170.09765625,17170.09765625,1589248
3645,0.065,55.9999723434448,0,0,4096,64,64,17174.8125,17174.8125,1589248
3646,0.052,55.9999732971191,0,0,4096,64,64,17179.52734375,17179.52734375,1589248
3647,0.043,55.9999742507935,0,0,4096,64,64,17184.2421875,17184.2421875,1589248
3648,0.055,55.9999752044678,0,0,4096,64,64,17188.95703125,17188.95703125,1589248
3649,0.055,55.9999761581421,0,0,4096,64,64,17193.671875,17193.671875,1589248
3650,0.055,55.9999771118164,0,0,4096,64,64,17198.38671875,17198.38671875,1589248
3651,0.041,55.9999780654907,0,0,4096,64,64,17203.1015625,17203.1015625,1589248
3652,0.045,55.999979019165,0,0,4096,64,64,17207.81640625,17207.81640625,1589248
3653,0.066,55.9999799728394,0,0,4096,64,64,17212.53125,17212.53125,1589248
3654,0.059,55.9999809265137,0,0,4096,64,64,17217.24609375,17217.24609375,1589248
3655,0.053,55.999981880188,0,0,4096,64,64,17221.9609375,17221.9609375,1589248
3656,0.053,55.9999828338623,0,0,4096,64,64,17226.67578125,17226.67578125,1589248
3657,0.066,55.9999837875366,0,0,4096,64,64,17231.390625,17231.390625,1589248
3658,0.051,55.9999847412109,0,0,4096,64,64,17236.10546875,17236.10546875,1589248
3659,0.061,55.9999856948853,0,0,4096,64,64,17240.8203125,17240.8203125,1589248
3660,0.057,55.9999866485596,0,0,4096,64,64,17245.53515625,17245.53515625,1589248
3661,0.051,55.9999876022339,0,0,4096,64,64,17250.25,17250.25,1589248
3662,0.035,55.9999885559082,0,0,4096,64,64,17254.96484375,17254.96484375,1589248
3663,0.038,55.9999895095825,0,0,4096,64,64,17259.6796875,17259.6796875,1589248
3664,0.035,55.9999904632568,0,0,4096,64,64,17264.39453125,17264.39453125,1589248
3665,0.038,55.9999914169312,0,0,4096,64,64,17269.109375,17269.109375,1589248
3666,0.04,55.9999923706055,0,0,4096,64,64,17273.82421875,17273.82421875,1589248
3667,0.039,55.9999933242798,0,0,4096,64,64,17278.5390625,17278.5390625,1589248
3668,0.056,55.9999942779541,0,0,4096,64,64,17283.25390625,17283.25390625,1589248
3669,0.048,55.9999952316284,0,0,4096,64,64,17287.96875,17287.96875,1589248
3670,0.06,55.9999961853027,0,0,4096,64,64,17292.68359375,17292.68359375,1589248
3671,0.054,55.9999971389771,0,0,4096,64,64,17297.3984375,17297.3984375,1589248
3672,0.048,55.9999980926514,0,0,4096,64,64,17302.11328125,17302.11328125,1589248
3673,0.057,55.9999990463257,0,0,4096,64,64,17306.828125,17306.828125,1589248
3674,0.045,56.0,0,0,4096,64,64,17311.54296875,17311.54296875,1589248
3675,0.053,56.0000009536743,0,0,4096,64,64,17316.2578125,17316.2578125,1589248
3676,0.05,56.0000019073486,0,0,4096,64,64,17320.97265625,17320.97265625,1589248
3677,0.058,56.0000028610229,0,0,4096,64,64,17325.6875,17325.6875,1589248
3678,0.044,56.0000038146973,0,0,4096,64,64,17330.40234375,17330.40234375,1589248
3679,0.043,56.0000047683716,0,0,4096,64,64,17335.1171875,17335.1171875,1589248
3680,0.056,56.0000057220459,0,0,4096,64,64,17339.83203125,17339.83203125,1589248
3681,0.047,56.0000066757202,0,0,4096,64,64,17344.546875,17344.546875,1589248
3682,0.046,56.0000076293945,0,0,4096,64,64,17349.26171875,17349.26171875,1589248
3683,0.066,56.0000085830688,0,0,4096,64,64,17353.9765625,17353.9765625,1589248
3684,0.05,56.0156345367432,0,0,4096,64,64,17358.69140625,17358.69140625,1589248
3685,0.042,56.0156354904175,0,0,4096,64,64,17363.40625,17363.40625,1589248
3686,0.073,56.0156364440918,0,0,4096,64,64,17368.12109375,17368.12109375,1589248
3687,0.056,56.0156373977661,0,0,4096,64,64,17372.8359375,17372.8359375,1589248
3688,44.932,56.7327060699463,7,7,4096,64,64,17377.55078125,17377.55078125,1589248
3689,0.038,56.0156393051147,0,0,4096,64,64,17382.265625,17382.265625,1589248
3690,0.015,56.0167541503906,0,0,4096,64,64,17386.98046875,17386.98046875,1589248
3691,0.029,56.0156412124634,0,0,4096,64,64,17391.6953125,17391.6953125,1589248
3692,0.03,56.0156421661377,0,0,4096,64,64,17396.41015625,17396.41015625,1589248
3693,0.027,56.015643119812,0,0,4096,64,64,17401.125,17401.125,1589248
3694,0.036,56.0156440734863,0,0,4096,64,64,17405.83984375,17405.83984375,1589248
3695,0.052,56.0156450271606,0,0,4096,64,64,17410.5546875,17410.5546875,1589248
3696,0.057,56.015645980835,0,0,4096,64,64,17415.26953125,17415.26953125,1589248
3697,0.055,56.0156469345093,0,0,4096,64,64,17419.984375,17419.984375,1589248
3698,0.058,56.0156478881836,0,0,4096,64,64,17424.69921875,17424.69921875,1589248
3699,0.058,56.0156488418579,0,0,4096,64,64,17429.4140625,17429.4140625,1589248
3700,0.048,56.0156497955322,0,0,4096,64,64,17434.12890625,17434.12890625,1589248
3701,0.058,56.0156507492065,0,0,4096,64,64,17438.84375,17438.84375,1589248
3702,0.055,56.0156517028809,0,0,4096,64,64,17443.55859375,17443.55859375,1589248
3703,0.048,56.0156526565552,0,0,4096,64,64,17448.2734375,17448.2734375,1589248
3704,0.058,56.0156536102295,0,0,4096,64,64,17452.98828125,17452.98828125,1589248
3705,0.055,56.0156545639038,0,0,4096,64,64,17457.703125,17457.703125,1589248
3706,0.042,56.0156555175781,0,0,4096,64,64,17462.41796875,17462.41796875,1589248
3707,0.076,56.0156564712524,0,0,4096,64,64,17467.1328125,17467.1328125,1589248
